movie_name,language
Mrs. Sanyal,Bengali
Byomkesh Gowtro,Bengali
Komal Gandhar,Bengali
Petromax,Telugu
En Kadhali Scene Podura,Tamil
War (Tamil),Tamil
Muklawa,Punjabi
Nenjamundu Nermaiyundu Odu Raja,Tamil
Dabangg 3 (Tamil),Tamil
Almost Sunrise,English
Ips Officer,Bengali
Mitran Nu Shauk Hathyaran Da,Punjabi
Rosogolla,Bengali
DAAKA,Punjabi
Unish Bish,Bengali
Sontan,Bengali
Guardians of The Strait,English
Nayantara,Bengali
Hirkani,Marathi
Bheetu,Bengali
Madly Bangali,Bengali
Peranbu (Tamil),Tamil
Force of Nature: The David Suzuki Movie,English
Synthetic Sati,Bengali
Anjali CBI,Telugu
The USA vs Bergdahl,English
Kaappaan,Tamil
Sing Along With Tobee 1 - Super Simple,English
Who Owns Water,English
Lakshmi's NTR,Telugu
Suttu Pidikka Utharavu,Tamil
Magamuni,Tamil
Mikhael,Malayalam
Pathinettam Padi,Malayalam
Kathanam,Tamil
Gopichand Chanakya,Telugu
Striker,Kannada
Maati O Manush,Bengali
varikkuzhiyile kolapathakam,Malayalam
Tyler Perry's A Madea Family Funeral,English
Godzilla: King of The Monsters,English
Easter Island: The Truth Revealed,English
Professor Shanku O El Dorado,Bengali
Patra Chai,Bengali
City of poets,Bengali
Chhota Bheem - Incan Adventure,Hindi
Chhota Bheem Ka Roosi Romanch,Hindi
Jessie,Telugu
The Grudge,Telugu
Chhota Bheem Kung Fu Dhamaka,Hindi
Pokémon Detective Pikachu,English
Mamangam,Telugu
"Airships, Back To The Future",English
Evaru,Telugu
Sea of Galilee,English
Ishq,Malayalam
AINA,English
Little Women,Tamil
Honey Boy,Hindi
U Turn (Hindi),Hindi
22 Yards,Hindi
Stephen King's Doctor Sleep,English
KisseBaaz,Hindi
Lady Tiger,Telugu
Agni Devi,Tamil
Elizabeth II: A Queen’s Revolution,English
Sye Raa Narasimha Reddy (Telugu),Telugu
Godzilla: King of The Monsters,Tamil
Ahare Mon,Bengali
Wedding Cha Shinema,Marathi
A Beautiful Day in the Neighborhood,Hindi
Dabangg 3 (Kannada),Kannada
One Child Nation,English
Edaina Jaragocchu,Telugu
Chikati Gadilo Chithakotudu,Telugu
Paharganj,Hindi
AAYUSHMANBHAVA,Kannada
N.T.R: Mahanayakudu,Telugu
Cheel Zadap,Gujarati
Mithai,Malayalam
Ayogya (Telugu),Telugu
The Ruins of Raqqa,English
Bouma,Bengali
Dabangg 3 (Telugu),Telugu
Manush Keno Beiman,Bengali
Yatra (Tamil),Tamil
Sagaa (Malayalam),Malayalam
The Bumble Nums - Season 3,English
Naqaab,Bengali
Premam,Hindi
Richie (Hindi),Hindi
The Eagles of the Forest,English
Jumanji: The Next Level,Telugu
Super Bheem Aur Avinashi Trimoorthy,Hindi
Mamangam,Malayalam
Black and Blue,Hindi
The Room,Telugu
Smile Please,Marathi
California Paranormal,English
Pad Yatra: A Green Odyssey,English
Shibu,Malayalam
Saaho (Kannada),Kannada
The Geocentric Man,Bengali
Yuddham ( In Hindi ),Hindi
Natpuna Ennanu Theriyuma,Tamil
Enai Noki Paayum Thota,Tamil
Maati,Bengali
Pati Patni Aur Woh,Hindi
Whistle,Telugu
Aliens Exposed,English
Ikkayude Shakadam,Malayalam
Bharat,Hindi
Mon Jaane Na,Bengali
Airaa (Tamil),Tamil
Mighty Raju - The Champion Of Alaska,Hindi
"From ISS To Mars - Space, The Future Of The Earth?",English
Playing With Fire,English
