movie_name,language,year_of_release,maturity_rating,total_running_time_minutes,imdb_ratings
Ae Dil Hai Mushkil,Hindi,2016,13+,155,5.8
Khuli Khidki - Pratibha Sharma,Hindi,2013,All,9,0
Love 86,Hindi,1986,All,140,5.7
Barood,Bengali,2017,13+,142,6
Jagriti,Hindi,None,All,138,6.9
Bedeneer Prem,Bengali,2017,13+,146,0
Lego Marvel: Avengers Reassembled,English,2015,7+,22,6.2
Janta Hawaldar,Hindi,1979,NR,126,6.4
Thira,Malayalam,2013,All,109,7.3
Letters From Generation RX,English,2019,13+,50,0
Top Cat,Marathi,2012,13+,86,4.6
My Husband's Wife,Hindi,2011,NR,126,0
The Program,English,2015,18+,103,6.5
Golmaal Again,Hindi,2017,13+,144,5
Anukokunda Oka Roju,Telugu,2005,All,145,8
Tharam,Malayalam,2005,NR,123,0
Tulkalam,Bengali,2017,13+,132,5.4
Captain Monsterica & The Purple Protector,English,2019,All,76,0
We Go Way Back,English,2006,NR,79,6.1
Hendthighelbedi,Kannada,1989,NR,143,0
Dev Bhoomi - Land of the Gods,Hindi,2016,13+,92,7.5
Marjala,Kannada,1986,NR,132,3.5
Samadhan,Bengali,1979,NR,128,7.3
"Siam, The Elephant",English,2020,13+,53,0
Neti Dowrjanyam,Telugu,1990,NR,115,0
Anweshan,Bengali,1984,NR,118,0
Bhikari,Marathi,2017,13+,123,6
Grace Of Monaco,English,2014,All,102,5.7
Elan,Hindi,None,NR,124,6.2
Ichak,Marathi,2017,All,104,5.8
The Ballad of Lefty Brown,English,2017,18+,111,6.3
Full 3 Dhamaal,Marathi,2008,All,110,5.7
Yoddha (2014),Bengali,2017,13+,150,0
Abhinandana,Telugu,1988,NR,130,7.5
Transformers: Revenge of the Fallen,English,2009,13+,149,6
Before I Wake,Hindi,2018,16+,93,6.2
BOSS 2,Bengali,2017,13+,145,5
Keeping and Saving,English,2020,13+,53,0
Ali Baba 40 Dongalu,Telugu,None,NR,179,7.3
Doorbeen,Punjabi,2019,13+,125,5.9
Chhota Bheem - Romani Adventure,Hindi,2020,All,61,0
Gharshana,Telugu,2004,18+,158,0
Daggaraga Duranga,Telugu,2011,13+,140,5.1
Khota Sikka Jaat Ke Thaat,Hindi,2014,NR,116,0
Ashdod Citadel,English,2020,13+,26,8.1
Makkala Sakshi,Kannada,1994,NR,72,0
WRECKER (Driver from Hell),Hindi,2017,16+,73,3.4
Rajar Meye Parul,Bengali,1993,NR,135,0
Pyari Behna,Hindi,1985,NR,136,6.7
Ek Phool Do Mali,Hindi,None,All,166,6.6
THE MAGIC OF HARRY POTTER,English,2000,All,40,7.2
Bad Boys II,Tamil,2003,13+,146,6.6
Wonder Woman (2017),English,2017,13+,141,7.4
Bandhuvulostunnaru Jagratha,Telugu,1989,All,120,6.8
Troop Zero,English,2020,7+,97,6.9
Cowgirls 'n Angels 2: Dakota's Summer,English,2014,13+,90,5.6
Around The World In 80 Days,English,2004,7+,119,5.9
Horns,English,2014,18+,115,6.5
Book of Shadows: The Blair Witch 2,English,2000,18+,90,4
Pokkiri Raja,Tamil,1982,All,138,6.2
Miyyav,Kannada,2002,NR,100,5.5
Bal Ganesh And The Pomzom Planet  (Malayalam),Malayalam,2017,All,79,0
Lacchimdeviki O Lekkundi,Telugu,2016,13+,107,5.2
Misti Madhur,Bengali,1993,NR,126,0
Dayana,Malayalam,2000,NR,77,0
Salaam Namaste,Hindi,2005,13+,158,6.2
"YASHKA, BATTALION OF DEATH",English,2019,13+,53,0
Mongolia - In The Shadow of Genghis Khan,English,2019,13+,55,0
Prematho Mee Karthik,Telugu,2017,All,115,6.6
Sakkha Savatra,Marathi,2007,All,132,0
Overtake,Malayalam,2017,All,119,6.8
Short Term 12,English,2013,18+,96,8
People Like Us,English,2012,16+,114,7.1
Bakso Bondi,Bengali,2018,13+,21,0
UNTRACEABLE,English,2008,13+,96,6.2
Chaos Theory,Malayalam,2018,All,17,6.6
Maharasan,Tamil,1993,NR,144,6.2
Maai Baap,Marathi,2007,All,110,0
Encounter - The Killing,Hindi,2002,13+,146,6.3
Agnipankh,Hindi,2004,All,134,4.5
Dongala Vetagaadu,Telugu,1985,NR,129,0
Fantastic Beasts and Where to Find Them,Telugu,2016,13+,132,7.3
Rathaavara,Kannada,2015,13+,131,6.5
The Ninth Configuration,English,1980,18+,117,7
Sneham,Malayalam,1998,NR,134,6.8
2016 The End,Hindi,2017,13+,121,5.8
Beautiful Boy,English,2018,18+,120,7.3
Rocket Singh Salesman of the Year,Hindi,2009,13+,154,7.5
Aparajito,Bengali,2017,13+,93,8.4
Sivakasi,Tamil,2005,All,175,5.3
Big Game,Tamil,2015,16+,87,5.4
Terminator Genisys,English,2015,13+,125,6.3
Unrelated,English,2007,NR,95,6.8
